Epoch 1, Loss: 1108.2960205078125, Accuracy: 0.0, Test Loss: 1168.2889404296875, Test Accuracy: 0.0
Epoch 2, Loss: 1063.986572265625, Accuracy: 0.0, Test Loss: 1123.8411865234375, Test Accuracy: 0.0
Epoch 3, Loss: 1021.6511840820312, Accuracy: 0.0, Test Loss: 1080.326171875, Test Accuracy: 0.0
Epoch 4, Loss: 979.8043823242188, Accuracy: 0.0, Test Loss: 1038.5042724609375, Test Accuracy: 0.0
Epoch 5, Loss: 940.2633056640625, Accuracy: 0.0, Test Loss: 997.7197265625, Test Accuracy: 0.0
Epoch 6, Loss: 901.3023681640625, Accuracy: 0.0, Test Loss: 958.724609375, Test Accuracy: 0.0
Epoch 7, Loss: 864.73046875, Accuracy: 0.0, Test Loss: 920.7236328125, Test Accuracy: 0.0
Epoch 8, Loss: 828.7394409179688, Accuracy: 0.0, Test Loss: 884.4620971679688, Test Accuracy: 0.0
Epoch 9, Loss: 793.8773193359375, Accuracy: 0.0, Test Loss: 850.0150756835938, Test Accuracy: 0.0
Epoch 10, Loss: 761.4212646484375, Accuracy: 0.0, Test Loss: 816.3845825195312, Test Accuracy: 0.0
Epoch 11, Loss: 729.83154296875, Accuracy: 0.0, Test Loss: 784.0271606445312, Test Accuracy: 0.0
Epoch 12, Loss: 699.6959228515625, Accuracy: 0.0, Test Loss: 752.806640625, Test Accuracy: 0.0
Epoch 13, Loss: 669.9917602539062, Accuracy: 0.0, Test Loss: 723.4354858398438, Test Accuracy: 0.0
Epoch 14, Loss: 642.5377197265625, Accuracy: 0.0, Test Loss: 694.898193359375, Test Accuracy: 0.0
Epoch 15, Loss: 615.7816162109375, Accuracy: 0.0, Test Loss: 667.635009765625, Test Accuracy: 0.0
Epoch 16, Loss: 590.3947143554688, Accuracy: 0.0, Test Loss: 641.421875, Test Accuracy: 0.0
Epoch 17, Loss: 565.9823608398438, Accuracy: 0.0, Test Loss: 616.393310546875, Test Accuracy: 0.0
Epoch 18, Loss: 542.4793701171875, Accuracy: 0.0, Test Loss: 592.6754760742188, Test Accuracy: 0.0
